DATE,CAODIV
2006-01-01,291666.3
2006-04-01,302301.3
2006-07-01,305833.3
2006-10-01,306881.0
2007-01-01,311405.4
2007-04-01,325259.2
2007-07-01,327613.7
2007-10-01,329209.4
2008-01-01,336328.8
2008-04-01,334979.6
2008-07-01,339785.2
2008-10-01,330560.7
2009-01-01,309208.1
2009-04-01,302443.7
2009-07-01,294622.3
2009-10-01,289551.2
2010-01-01,289957.2
2010-04-01,295317.8
2010-07-01,298680.4
2010-10-01,310928.2
2011-01-01,327035.9
2011-04-01,333019.0
2011-07-01,336151.0
2011-10-01,350238.3
2012-01-01,365313.2
2012-04-01,374839.8
2012-07-01,363943.9
2012-10-01,400559.7
2013-01-01,360735.9
2013-04-01,365303.0
2013-07-01,375392.6
2013-10-01,382645.3
2014-01-01,396819.3
2014-04-01,414813.6
2014-07-01,428625.1
2014-10-01,437810.1
2015-01-01,442366.3
2015-04-01,464991.1
2015-07-01,474583.0
2015-10-01,472441.8
2016-01-01,479212.0
2016-04-01,486015.3
2016-07-01,491464.0
2016-10-01,498263.4
2017-01-01,512913.5
2017-04-01,515179.7
2017-07-01,518202.7
2017-10-01,535728.7
2018-01-01,549060.5
2018-04-01,558822.3
2018-07-01,568055.1
2018-10-01,578488.0
2019-01-01,566983.1
2019-04-01,580314.5
