DATE,CASTHPI
2006-01-01,636.97
2006-04-01,642.67
2006-07-01,644.75
2006-10-01,640.9
2007-01-01,631.96
2007-04-01,621.2
2007-07-01,598.11
2007-10-01,573.86
2008-01-01,541.78
2008-04-01,497.21
2008-07-01,459.64
2008-10-01,443.78
2009-01-01,439.59
2009-04-01,419.52
2009-07-01,410.22
2009-10-01,411.56
2010-01-01,408.65
2010-04-01,407.47
2010-07-01,409.49
2010-10-01,404.89
2011-01-01,390.67
2011-04-01,384.29
2011-07-01,385.65
2011-10-01,384.34
2012-01-01,379.91
2012-04-01,380.64
2012-07-01,388.83
2012-10-01,396.81
2013-01-01,405.75
2013-04-01,424.82
2013-07-01,448.57
2013-10-01,463.61
2014-01-01,473.61
2014-04-01,486.04
2014-07-01,496.34
2014-10-01,501.86
2015-01-01,506.15
2015-04-01,518.41
2015-07-01,532.84
2015-10-01,540.2
2016-01-01,547.06
2016-04-01,556.66
2016-07-01,567.98
2016-10-01,576.44
2017-01-01,587.29
2017-04-01,600.59
2017-07-01,612.52
2017-10-01,623.32
2018-01-01,636.31
2018-04-01,652.79
2018-07-01,663.03
2018-10-01,665.27
2019-01-01,669.26
2019-04-01,675.54
