DATE,CAWMIN
2006-01-01,2108988.0
2006-04-01,2332112.0
2006-07-01,2409328.0
2006-10-01,2499664.0
2007-01-01,2529520.0
2007-04-01,2596636.0
2007-07-01,2779112.0
2007-10-01,2804004.0
2008-01-01,2866124.0
2008-04-01,3065644.0
2008-07-01,3075448.0
2008-10-01,3388104.0
2009-01-01,2465220.0
2009-04-01,2855764.0
2009-07-01,2735212.0
2009-10-01,2898528.0
2010-01-01,2820728.0
2010-04-01,2764808.0
2010-07-01,3092612.0
2010-10-01,4106496.0
2011-01-01,3407160.0
2011-04-01,3433696.0
2011-07-01,3494296.0
2011-10-01,3286960.0
2012-01-01,3724980.0
2012-04-01,3622828.0
2012-07-01,3953292.0
2012-10-01,3876156.0
2013-01-01,3821496.0
2013-04-01,3927012.0
2013-07-01,3898864.0
2013-10-01,3505968.0
2014-01-01,3917984.0
2014-04-01,3851464.0
2014-07-01,3863916.0
2014-10-01,4246408.0
2015-01-01,3743208.0
2015-04-01,3607620.0
2015-07-01,3638184.0
2015-10-01,3473600.0
2016-01-01,3346772.0
2016-04-01,3000360.0
2016-07-01,2879432.0
2016-10-01,2721696.0
2017-01-01,2381764.0
2017-04-01,2429664.0
2017-07-01,2391848.0
2017-10-01,2532456.0
2018-01-01,2537396.0
2018-04-01,2596420.0
2018-07-01,2584476.0
2018-10-01,2431816.0
2019-01-01,2696626.0
2019-04-01,2825471.0
