California Hospitalizations - Total Population,,,,,,,,
Any Opioid-Related Overdose  : Age-Adjusted Rate per 100,000 Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Moving Avg.,Lower 95% CL,Upper 95% CL,12-Month Count
2006 Q1,8.63,8.33,8.95,769,0,0,0,0
2006 Q2,9.8,9.47,10.13,874,0,0,0,0
2006 Q3,8.97,8.66,9.29,801,0,0,0,0
2006 Q4,9.39,9.08,9.72,840,9.2,8.88,9.52,3284
2007 Q1,9.36,9.04,9.68,843,9.38,9.06,9.7,3358
2007 Q2,10.66,10.32,11,970,9.6,9.27,9.92,3454
2007 Q3,10.88,10.55,11.23,991,10.07,9.75,10.41,3644
2007 Q4,10.47,10.14,10.81,953,10.34,10.01,10.68,3757
2008 Q1,10.59,10.26,10.93,981,10.65,10.32,10.99,3895
2008 Q2,11.31,10.96,11.66,1040,10.81,10.48,11.16,3965
2008 Q3,11.99,11.64,12.35,1110,11.09,10.75,11.44,4084
2008 Q4,11.48,11.14,11.84,1063,11.34,11,11.69,4194
2009 Q1,11.29,10.95,11.64,1069,11.52,11.17,11.87,4282
2009 Q2,12.15,11.79,12.51,1140,11.73,11.38,12.08,4382
2009 Q3,11.8,11.45,12.15,1124,11.68,11.33,12.04,4396
2009 Q4,11.49,11.15,11.84,1095,11.68,11.34,12.04,4428
2010 Q1,11.95,11.6,12.3,1148,11.85,11.5,12.2,4507
2010 Q2,12.87,12.51,13.24,1241,12.03,11.68,12.38,4608
2010 Q3,13.56,13.19,13.94,1296,12.47,12.11,12.83,4780
2010 Q4,12.39,12.04,12.75,1191,12.69,12.33,13.06,4876
2011 Q1,12.45,12.1,12.81,1222,12.82,12.46,13.19,4950
2011 Q2,12.9,12.54,13.27,1265,12.83,12.47,13.19,4974
2011 Q3,13.52,13.15,13.89,1321,12.82,12.46,13.18,4999
2011 Q4,12.18,11.83,12.54,1192,12.76,12.4,13.13,5000
2012 Q1,12.11,11.77,12.46,1213,12.68,12.32,13.04,4991
2012 Q2,12.72,12.37,13.08,1269,12.63,12.28,12.99,4995
2012 Q3,12.88,12.53,13.25,1291,12.47,12.12,12.83,4965
2012 Q4,11.57,11.23,11.91,1155,12.32,11.97,12.68,4928
2013 Q1,12.18,11.83,12.52,1245,12.34,11.99,12.69,4960
2013 Q2,11.67,11.33,12.01,1188,12.08,11.73,12.42,4879
2013 Q3,12.66,12.32,13.02,1294,12.02,11.68,12.36,4882
2013 Q4,11.31,10.99,11.65,1156,11.96,11.62,12.3,4883
2014 Q1,11.68,11.35,12.02,1224,11.83,11.5,12.17,4862
2014 Q2,12.82,12.47,13.18,1327,12.12,11.78,12.47,5001
2014 Q3,12.53,12.19,12.88,1312,12.09,11.75,12.43,5019
2014 Q4,11.95,11.62,12.3,1252,12.24,11.91,12.59,5115
2015 Q1,11,10.68,11.32,1166,12.07,11.74,12.42,5057
2015 Q2,11.92,11.59,12.25,1272,11.85,11.52,12.19,5002
2015 Q3,10.67,10.36,11,1128,11.39,11.06,11.72,4818
2015 Q4,10.01,9.71,10.32,1070,10.9,10.59,11.22,4636
2016 Q1,9.2,8.91,9.5,992,10.45,10.14,10.77,4462
2016 Q2,11.33,11,11.66,1212,10.3,10,10.62,4402
2016 Q3,10.08,9.77,10.39,1078,10.15,9.85,10.47,4352
2016 Q4,9.17,8.88,9.47,990,9.95,9.64,10.25,4272
2017 Q1,8.39,8.11,8.67,914,9.74,9.44,10.05,4194
2017 Q2,9.79,9.49,10.09,1063,9.36,9.06,9.65,4045
2017 Q3,9.45,9.16,9.75,1024,9.2,8.91,9.49,3991
2017 Q4,8.38,8.11,8.67,917,9,8.72,9.29,3918
2018 Q1,8.01,7.74,8.28,874,8.91,8.62,9.2,3878
2018 Q2,8.7,8.42,8.99,954,8.64,8.36,8.92,3769
2018 Q3,8.74,8.46,9.02,966,8.46,8.18,8.74,3711
2018 Q4,8.09,7.82,8.37,878,8.38,8.11,8.67,3672
Source: California Office of Statewide Health Planning and Development - Inpatient Discharge Data,,,,,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,,,,,
