California ED Visits - Total Population,,,,,,,,
Any Opioid-Related Overdose : Age-Adjusted Rate per 100,000 Residents,,,,,,,,
Quarter,Annualized Quarterly Rate,Lower 95% CL,Upper 95% CL,Quarterly Count,12-Month Moving Avg.,Lower 95% CL,Upper 95% CL,12-Month Count
2006 Q1,10,9.67,10.33,911,0,0,0,0
2006 Q2,11.45,11.11,11.81,1044,0,0,0,0
2006 Q3,11.75,11.4,12.11,1069,0,0,0,0
2006 Q4,10.52,10.18,10.86,956,10.93,10.59,11.28,3980
2007 Q1,10.93,10.59,11.27,1006,11.16,10.82,11.51,4075
2007 Q2,12.53,12.17,12.9,1154,11.43,11.08,11.79,4185
2007 Q3,12.52,12.16,12.89,1154,11.62,11.28,11.98,4270
2007 Q4,11.5,11.15,11.85,1056,11.87,11.52,12.23,4370
2008 Q1,12.44,12.09,12.81,1166,12.25,11.89,12.61,4530
2008 Q2,13.27,12.9,13.64,1236,12.43,12.07,12.8,4612
2008 Q3,14.62,14.23,15.02,1364,12.96,12.59,13.33,4822
2008 Q4,13.32,12.95,13.7,1248,13.41,13.04,13.79,5014
2009 Q1,14.11,13.73,14.49,1335,13.83,13.45,14.21,5183
2009 Q2,15.65,15.25,16.06,1473,14.42,14.04,14.82,5420
2009 Q3,15.77,15.37,16.18,1494,14.71,14.32,15.11,5550
2009 Q4,13.65,13.28,14.04,1293,14.8,14.41,15.19,5595
2010 Q1,13.37,13.01,13.75,1281,14.61,14.23,15.01,5541
2010 Q2,15.6,15.21,16.01,1498,14.6,14.22,14.99,5566
2010 Q3,15.15,14.76,15.55,1453,14.44,14.06,14.84,5525
2010 Q4,14.64,14.25,15.03,1410,14.69,14.31,15.09,5642
2011 Q1,15.25,14.86,15.64,1487,15.16,14.77,15.56,5848
2011 Q2,16.99,16.58,17.41,1653,15.51,15.11,15.91,6003
2011 Q3,17.67,17.25,18.1,1729,16.14,15.73,16.55,6279
2011 Q4,15.88,15.48,16.28,1560,16.45,16.04,16.86,6429
2012 Q1,15.96,15.56,16.37,1569,16.62,16.22,17.04,6511
2012 Q2,17.25,16.84,17.67,1711,16.69,16.28,17.11,6569
2012 Q3,17.74,17.33,18.17,1753,16.71,16.3,17.12,6593
2012 Q4,16.59,16.19,17.01,1640,16.88,16.48,17.31,6673
2013 Q1,16.99,16.58,17.4,1702,17.14,16.73,17.56,6806
2013 Q2,18.03,17.62,18.46,1805,17.34,16.93,17.76,6900
2013 Q3,18.38,17.96,18.81,1838,17.5,17.09,17.92,6985
2013 Q4,16.84,16.44,17.26,1681,17.56,17.15,17.98,7026
2014 Q1,16.61,16.21,17.02,1690,17.46,17.06,17.89,7014
2014 Q2,18.89,18.46,19.32,1917,17.68,17.27,18.1,7126
2014 Q3,19.29,18.87,19.73,1971,17.91,17.5,18.33,7259
2014 Q4,18.45,18.03,18.88,1878,18.31,17.89,18.74,7456
2015 Q1,18.41,17.99,18.84,1882,18.76,18.34,19.19,7648
2015 Q2,18.69,18.27,19.12,1917,18.71,18.29,19.14,7648
2015 Q3,20.21,19.77,20.66,2070,18.94,18.52,19.38,7747
2015 Q4,18.85,18.43,19.28,1933,19.04,18.61,19.48,7802
2016 Q1,19.85,19.42,20.29,2037,19.4,18.97,19.84,7957
2016 Q2,20.63,20.18,21.08,2114,19.89,19.45,20.33,8154
2016 Q3,20.24,19.81,20.69,2098,19.89,19.46,20.34,8182
2016 Q4,19.45,19.02,19.89,1995,20.04,19.61,20.49,8244
2017 Q1,17.47,17.07,17.89,1820,19.45,19.02,19.89,8027
2017 Q2,21.69,21.24,22.15,2252,19.71,19.29,20.16,8165
2017 Q3,22.27,21.81,22.73,2308,20.22,19.79,20.66,8375
2017 Q4,19.22,18.79,19.65,1988,20.16,19.73,20.61,8368
2018 Q1,19.63,19.2,20.07,2035,20.7,20.26,21.15,8583
2018 Q2,21.32,20.87,21.78,2192,20.61,20.17,21.06,8523
2018 Q3,23.49,23.01,23.97,2415,20.91,20.47,21.37,8630
2018 Q4,21.32,20.87,21.78,2190,21.44,20.99,21.9,8832
Source: California Office of Statewide Health Planning and Development - Emergency Department Data,,,,,,,,
Prepared by: California Department of Public Health - Safe and Active Communities Branch.,,,,,,,,
