QUARTER,CANQGSP,CAODIV,CAOTOT,CASTHPI,CAWHEA,CAWMIN,CAWTOT,UNEMPLOYCA,Prescriptions Rate,Prescriptions Count,Hospitalizations Rate,Hospitalizations Count,ED Visits Rate,ED Visits Count,Deaths Rate,Deaths Count
2006 Q1,1852200.0,291666.3,1497168.9,636.97,62027556.0,2108988.0,786281748.0,918200,,,8.63,769,10,911,3.82,348
2006 Q2,1859177.9,302301.3,1504015.5,642.67,62803436.0,2332112.0,781834944.0,898500,,,9.8,874,11.45,1044,4.09,375
2006 Q3,1883269.3,305833.3,1522251.7,644.75,64251000.0,2409328.0,791299448.0,884800,,,8.97,801,11.75,1069,4.02,369
2006 Q4,1904301.9,306881.0,1540793.8,640.9,65256928.0,2499664.0,806384972.0,859300,,,9.39,840,10.52,956,4.13,377
2007 Q1,1916188.9,311405.4,1565699.3,631.96,66814380.0,2529520.0,826182260.0,865400,,,9.36,843,10.93,1006,4.52,415
2007 Q2,1940770.5,325259.2,1580476.3,621.2,67734544.0,2596636.0,832237288.0,885900,,,10.66,970,12.53,1154,4.56,422
2007 Q3,1966137.7,327613.7,1582387.7,598.11,68795260.0,2779112.0,834075380.0,919300,,,10.88,991,12.52,1154,4.13,384
2007 Q4,2000327.0,329209.4,1597729.9,573.86,70608912.0,2804004.0,846134736.0,973100,,,10.47,953,11.5,1056,4.64,430
2008 Q1,1971753.2,336328.8,1602984.4,541.78,71691556.0,2866124.0,843883428.0,1020100,570.16,5205121,10.59,981,12.44,1166,5.07,475
2008 Q2,2012750.2,334979.6,1622798.6,497.21,72847976.0,3065644.0,847673352.0,1088800,539.45,4925831,11.31,1040,13.27,1236,4.56,425
2008 Q3,2019835.1,339785.2,1614538.7,459.64,74217220.0,3075448.0,848464176.0,1183700,530.79,4850404,11.99,1110,14.62,1364,4.76,447
2008 Q4,1958374.3,330560.7,1585997.8,443.78,75238360.0,3388104.0,832461432.0,1317800,513.5,4693674,11.48,1063,13.32,1248,4.65,436
2009 Q1,1946951.6,309208.1,1548522.0,439.59,75412072.0,2465220.0,802888952.0,1534200,409.32,3805622,11.29,1069,14.11,1335,5.32,503
2009 Q2,1912526.5,302443.7,1556315.3,419.52,76827224.0,2855764.0,801238784.0,1720700,532.79,4952447,12.15,1140,15.65,1473,5.72,541
2009 Q3,1903464.3,294622.3,1549974.7,410.22,77767504.0,2735212.0,794648988.0,1925000,593.4,5519790,11.8,1124,15.77,1494,5.08,483
2009 Q4,1917304.9,289551.2,1561241.3,411.56,78671816.0,2898528.0,796872848.0,2078000,569.67,5299064,11.49,1095,13.65,1293,4.65,443
2010 Q1,1942648.5,289957.2,1594061.6,408.65,78596100.0,2820728.0,798130296.0,2152500,595.76,5642869,11.95,1148,13.37,1281,4.97,479
2010 Q2,1959030.0,295317.8,1620381.4,407.47,79898468.0,2764808.0,810182264.0,2201800,612.39,5801212,12.87,1241,15.6,1498,5.04,486
2010 Q3,1972332.3,298680.4,1628231.2,409.49,81008756.0,3092612.0,813555576.0,2218500,609.44,5775129,13.56,1296,15.15,1453,4.97,482
2010 Q4,2024447.3,310928.2,1671156.5,404.89,81542792.0,4106496.0,832909372.0,2223700,609.51,5775799,12.39,1191,14.64,1410,4.76,461
2011 Q1,2030621.9,327035.9,1721992.6,390.67,81946428.0,3407160.0,846441544.0,2196500,582.1,5615634,12.45,1222,15.25,1487,5.26,516
2011 Q2,2047761.8,333019.0,1728856.2,384.29,82942244.0,3433696.0,844827832.0,2180900,596.58,5755328,12.9,1265,16.99,1653,4.95,485
2011 Q3,2054554.0,336151.0,1748051.5,385.65,84650276.0,3494296.0,853651416.0,2151400,589.09,5683544,13.52,1321,17.67,1729,4.36,430
2011 Q4,2067289.5,350238.3,1752859.8,384.34,84245432.0,3286960.0,845114776.0,2111400,586.45,5658346,12.18,1192,15.88,1560,4.76,467
